http://www.candidagenome.org/download/External_id_mappings/gp2protein.cgd.gz
CGD:CAL0000193101	UniProtKB:Q5A0W9
CGD:CAL0000187768	UniProtKB:Q5AD77
CGD:CAL0000191259	UniProtKB:Q5A3Q0
CGD:CAL0000191263	UniProtKB:P43063
CGD:CAL0000186073	UniProtKB:Q9B8D8
CGD:CAL0000194879	UniProtKB:Q5A5S7
CGD:CAL0000179035	UniProtKB:Q59Y41
CGD:CAL0000179043	UniProtKB:Q59XA7
CGD:CAL0000180742	UniProtKB:Q9Y765
CGD:CAL0000196689	UniProtKB:P0DJ06
CGD:CAL0000182553	UniProtKB:Q5AFP8
CGD:CAL0000193129	UniProtKB:Q5A0L7
CGD:CAL0000200223	UniProtKB:Q5A0J9
CGD:CAL0000193137	UniProtKB:Q5ADQ7
CGD:CAL0000173953	UniProtKB:Q59WI7
CGD:CAL0000173961	UniProtKB:Q9P940
CGD:CAL0000189507	UniProtKB:Q5A3J1
CGD:CAL0000182579	UniProtKB:Q9P8W2
CGD:CAL0000175612	UniProtKB:Q5A6M2
CGD:CAL0000200268	UniProtKB:Q5AMJ5
CGD:CAL0000202028	UniProtKB:O42617
CGD:CAL0000186137	UniProtKB:P82610
CGD:CAL0000177394	UniProtKB:Q5ANB1
CGD:CAL0000191356	UniProtKB:Q59Z17
CGD:CAL0000175641	UniProtKB:Q59Q36
CGD:CAL0000189549	UniProtKB:Q59SN6
CGD:CAL0000184365	UniProtKB:Q5ABP8
CGD:CAL0000173992	UniProtKB:Q59LC9
CGD:CAL0000173996	UniProtKB:Q5ACM4
CGD:CAL0000173998	UniProtKB:Q5ABU7
CGD:CAL0000187858	UniProtKB:Q59RP7
CGD:CAL0000189556	UniProtKB:P0CY27
CGD:CAL0000184383	UniProtKB:Q04782
CGD:CAL0000189568	UniProtKB:Q59ZW4
CGD:CAL0000174020	UniProtKB:Q59VY1
CGD:CAL0000189580	UniProtKB:O74198
CGD:CAL0000191382	UniProtKB:Q5APU2
CGD:CAL0000174022	UniProtKB:Q59WC6
CGD:CAL0000174024	UniProtKB:Q59NG5
CGD:CAL0000198582	UniProtKB:Q5A0W6
CGD:CAL0000194997	UniProtKB:Q59KN8
CGD:CAL0000174035	UniProtKB:Q5AJ82
CGD:CAL0000189590	UniProtKB:Q5AI97
CGD:CAL0000186184	UniProtKB:Q5AI48
CGD:CAL0000180884	UniProtKB:Q5ACW6
CGD:CAL0000179159	UniProtKB:Q5A8X9
CGD:CAL0000174046	UniProtKB:Q5A970
CGD:CAL0000200354	UniProtKB:Q5A7R7
CGD:CAL0000187911	UniProtKB:P87220
CGD:CAL0000187915	UniProtKB:Q9C0L9
CGD:CAL0000177457	UniProtKB:Q5A4X8
CGD:CAL0000174064	UniProtKB:Q5AP59
CGD:CAL0000179202	UniProtKB:Q59MV9
CGD:CAL0000191454	UniProtKB:O94030
CGD:CAL0000177471	UniProtKB:Q5AI58
CGD:CAL0000200375	UniProtKB:Q5A922
CGD:CAL0000195044	UniProtKB:Q5AL16
CGD:CAL0000198627	UniProtKB:Q5AJ71
CGD:CAL0000177487	UniProtKB:Q9P838
CGD:CAL0000196842	UniProtKB:Q5AK94
CGD:CAL0000179231	UniProtKB:Q5A7Q2
CGD:CAL0000189656	UniProtKB:Q59W04
CGD:CAL0000195054	UniProtKB:Q9B8D4
CGD:CAL0000184470	UniProtKB:Q5ANA8
CGD:CAL0000187979	UniProtKB:Q59PD3
CGD:CAL0000175783	UniProtKB:Q59YV0
CGD:CAL0000177517	UniProtKB:Q5A5K7
CGD:CAL0000189676	UniProtKB:Q5A0M4
CGD:CAL0000180949	UniProtKB:Q9UW12
CGD:CAL0000187991	UniProtKB:Q5A3P6
CGD:CAL0000193301	UniProtKB:Q59R35
CGD:CAL0000180957	UniProtKB:Q5AJD2
CGD:CAL0000191504	UniProtKB:Q9B1P9
CGD:CAL0000182745	UniProtKB:Q5ANH2
CGD:CAL0000188005	UniProtKB:P83782
CGD:CAL0000193303	UniProtKB:Q5ACI8
CGD:CAL0000189686	UniProtKB:O94069
