http://www.candidagenome.org/download/External_id_mappings/gp2protein.cgd.gz
CGDID	Uniprot
CAL0000193101	Q5A0W9
CAL0000187768	Q5AD77
CAL0000191259	Q5A3Q0
CAL0000191263	P43063
CAL0000186073	Q9B8D8
CAL0000194879	Q5A5S7
CAL0000179035	Q59Y41
CAL0000179043	Q59XA7
CAL0000180742	Q9Y765
CAL0000196689	P0DJ06
CAL0000182553	Q5AFP8
CAL0000193129	Q5A0L7
CAL0000200223	Q5A0J9
CAL0000193137	Q5ADQ7
CAL0000173953	Q59WI7
CAL0000173961	Q9P940
CAL0000189507	Q5A3J1
CAL0000182579	Q9P8W2
CAL0000175612	Q5A6M2
CAL0000200268	Q5AMJ5
CAL0000202028	O42617
CAL0000186137	P82610
CAL0000177394	Q5ANB1
CAL0000191356	Q59Z17
CAL0000175641	Q59Q36
CAL0000189549	Q59SN6
CAL0000184365	Q5ABP8
CAL0000173992	Q59LC9
CAL0000173996	Q5ACM4
CAL0000173998	Q5ABU7
CAL0000187858	Q59RP7
CAL0000189556	P0CY27
CAL0000184383	Q04782
CAL0000189568	Q59ZW4
CAL0000174020	Q59VY1
CAL0000189580	O74198
CAL0000191382	Q5APU2
CAL0000174022	Q59WC6
CAL0000174024	Q59NG5
CAL0000198582	Q5A0W6
CAL0000194997	Q59KN8
CAL0000174035	Q5AJ82
CAL0000189590	Q5AI97
CAL0000186184	Q5AI48
CAL0000180884	Q5ACW6
CAL0000179159	Q5A8X9
CAL0000174046	Q5A970
CAL0000200354	Q5A7R7
CAL0000187911	P87220
CAL0000187915	Q9C0L9
CAL0000177457	Q5A4X8
CAL0000174064	Q5AP59
CAL0000179202	Q59MV9
CAL0000191454	O94030
CAL0000177471	Q5AI58
CAL0000200375	Q5A922
CAL0000195044	Q5AL16
CAL0000198627	Q5AJ71
CAL0000177487	Q9P838
CAL0000196842	Q5AK94
CAL0000179231	Q5A7Q2
CAL0000189656	Q59W04
CAL0000195054	Q9B8D4
CAL0000184470	Q5ANA8
CAL0000187979	Q59PD3
CAL0000175783	Q59YV0
CAL0000177517	Q5A5K7
CAL0000189676	Q5A0M4
CAL0000180949	Q9UW12
CAL0000187991	Q5A3P6
CAL0000193301	Q59R35
CAL0000180957	Q5AJD2
CAL0000191504	Q9B1P9
CAL0000182745	Q5ANH2
CAL0000188005	P83782
CAL0000193303	Q5ACI8
CAL0000189686	O94069
CAL0000184506	Q9P8W1
CAL0000196898	Q59V01
CAL0000175809	P43075
CAL0000182747	Q5AKU5
CAL0000186279	P87206
CAL0000200439	Q59XP0
CAL0000198677	Q96WL3
CAL0000200441	Q59VP2
CAL0000195105	Q5AHD6
CAL0000195107	Q59VM4
CAL0000196918	Q5ABV6
CAL0000195117	Q5APM7
CAL0000186291	Q5ABZ2
CAL0000186295	Q5AH11
CAL0000193330	Q59MJ2
CAL0000189708	Q59WG7
CAL0000189710	P78594
CAL0000196930	Q5A387
CAL0000196928	Q5AGW8
CAL0000195131	Q59UT4
CAL0000186307	Q5AJ85
CAL0000181001	Q59PL9
CAL0000196936	P0CY35
CAL0000193350	Q5A4G9
CAL0000177565	Q59YS7
CAL0000182794	Q59P03
CAL0000181023	Q5A860
CAL0000196952	P56553
CAL0000181029	Q5AFA2
CAL0000196962	Q59NP1
CAL0000174156	Q9UW14
CAL0000174164	Q5AQ62
CAL0000189736	O43133
CAL0000179313	O59933
CAL0000184565	Q5AD05
CAL0000174170	Q9UVJ4
CAL0000184567	Q5A2T0
CAL0000174176	Q59XM1
CAL0000174178	Q59XV0
CAL0000195169	P0CB54
CAL0000198735	Q9P824
CAL0000193385	Q5AAU3
CAL0000189760	Q59UY7
CAL0000179350	Q9UW25
CAL0000182821	Q92410
CAL0000179355	Q9B8D1
CAL0000181098	P0C0X3
CAL0000198757	Q5A4Q1
CAL0000182839	P78599
CAL0000189790	Q59LV5
CAL0000195194	Q9P975
CAL0000186393	P0CY34
CAL0000184616	Q5A1E0
CAL0000184614	Q5AIR7
CAL0000184618	O94049
CAL0000195210	Q5AAG1
CAL0000174216	Q59ZU1
CAL0000198786	Q59JW3
CAL0000198788	Q59PT4
CAL0000189817	Q5ALY0
CAL0000182853	P79023
CAL0000184636	Q59RN6
CAL0000198792	Q5AJX2
CAL0000186415	Q59PT6
CAL0000198802	O93806
CAL0000181153	Q59PR3
CAL0000191640	Q59R32
CAL0000193447	Q5ABQ7
CAL0000189855	Q5A688
CAL0000200595	Q5AA50
CAL0000175954	Q5ANJ4
CAL0000188166	Q5AFK0
CAL0000189861	P83775
CAL0000186445	P0CY31
CAL0000179436	Q5A4G2
CAL0000175964	Q5A931
CAL0000177663	Q59ZI3
CAL0000182900	Q5A477
CAL0000174251	Q59Q79
CAL0000181188	Q59YF0
CAL0000174257	Q5A4X5
CAL0000200616	O74713
CAL0000188191	Q5ADL0
CAL0000198834	Q5A6M0
CAL0000175982	Q5AK59
CAL0000188195	P86029
CAL0000197117	Q5AMH6
CAL0000179458	Q92206
CAL0000179460	Q5A849
CAL0000193490	Q5A446
CAL0000182919	Q5A319
CAL0000200634	Q59SI2
CAL0000186466	O74161
CAL0000198853	Q5AP53
CAL0000197139	P33181
