C5MGG2	ctp:CTRG_05155
C5MHQ0	ctp:CTRG_05593
C5MER9	ctp:CTRG_04562
C5MJA0	ctp:CTRG_06143
C5MDF5	ctp:CTRG_04256
C5MH19	ctp:CTRG_05373
C5MBI8	ctp:CTRG_03430
C5M298	ctp:CTRG_00187
C5MA70	ctp:CTRG_02382
C5M8J3	ctp:CTRG_02715
C5MIT3	ctp:CTRG_05976
C5MD01	ctp:CTRG_04102
C5MEK3	ctp:CTRG_04496
C5MBT1	ctp:CTRG_03523
C5M445	ctp:CTRG_00834
C5MDV5	ctp:CTRG_03857
C5M7S0	ctp:CTRG_01902
C5M491	ctp:CTRG_00880
C5MHB7	ctp:CTRG_05471
C5MJL0	ctp:CTRG_06253
C5M2M8	ctp:CTRG_00317
C5MDA2	ctp:CTRG_04203
C5M6T3	ctp:CTRG_01564
C5MBA9	ctp:CTRG_03351
C5MCM5	ctp:CTRG_03976
C5M4B0	ctp:CTRG_00900
C5M2X9	ctp:CTRG_00418
C5MIH0	ctp:CTRG_05863
C5M340	ctp:CTRG_00479
C5MD65	ctp:CTRG_04166
C5M6C1	ctp:CTRG_01402
C5M785	ctp:CTRG_01717
C5M7B3	ctp:CTRG_01745
C5M350	ctp:CTRG_00489
C5MBB5	ctp:CTRG_03357
C5M383	ctp:CTRG_00522
C5MCF6	ctp:CTRG_03907
C5MGV5	ctp:CTRG_05309
C5M7T5	ctp:CTRG_02457
C5M2U9	ctp:CTRG_00388
C5M722	ctp:CTRG_01654
C5M8C0	ctp:CTRG_02642
C5MI57	ctp:CTRG_05750
C5MI70	ctp:CTRG_05763
C5M5E0	ctp:CTRG_02118
C5ME53	ctp:CTRG_04345
C5M338	ctp:CTRG_00477
C5MD21	ctp:CTRG_04122
C5MBT9	ctp:CTRG_03531
C5MG45	ctp:CTRG_05038
C5M9V7	ctp:CTRG_02269
C5M8H4	ctp:CTRG_02696
C5MAM4	ctp:CTRG_03116
C5M8U6	ctp:CTRG_02818
