>awk '!_[$1]++ {print $2}' boidinii_best_blast.m8 | xclip | http://www.uniprot.org/uploadlists/ RefSeq Protein -> UniProtKB | Download Mapping Table

XP_018211803.1	A0A1B7SK73
XP_018212581.1	A0A1B7SMP9
XP_018213012.1	A0A1B7SPE3
XP_013936827.1	W1QLI1
XP_013934197.1	W1QCQ2
XP_013937110.1	W1QLK4
XP_013934649.1	W1QCI9
XP_013934922.1	W1QG57
XP_013933771.1	W1QA53
XP_013933732.1	W1QD80
XP_013936612.1	W1QLB9
XP_018212186.1	A0A1B7SLL5
XP_002493947.1	C4R843
XP_013936270.1	W1QIH6
XP_018212532.1	A0A1B7SMS0
XP_013935105.1	W1QD86
XP_018221990.1	A0A0L8RIW5
XP_002548981.1	C5MB36
XP_004197331.1	G8Y967
XP_018210951.1	A0A1B7SHZ6
XP_013934913.1	W1QEV5
XP_013934282.1	W1QCY3
XP_013020998.1	S9XJL3
XP_001384930.1	A3LW44
XP_018210714.1	A0A1B7SH30
XP_001527207.1	A5DXE9
XP_002615545.1	C4Y899
XP_002617710.1	C4Y3P1
XP_004984390.1	K4A5P4
XP_004961412.1	K3ZEJ0
NP_001131692.1	B4FDL9
XP_002441786.1	Q84YF1
XP_004956235.1	K3ZRQ0
XP_004962547.1	K3Z5T3
XP_004973832.1	K3YM02
XP_004983905.1	K4A9M5
XP_004962407.1	K3Z545
XP_004965073.1	K3Y359
XP_004955199.1	K3YZ71
XP_004979284.1	K3ZIY6
XP_004962306.1	K3Z5Y5
XP_014752742.1	I1GNM8
XP_004961859.1	K3Z4V9
XP_004982725.1	K4ACT2
XP_002446124.1	C5YCN5
XP_004978442.1	K3ZHL4
XP_004982397.1	K4A8C2
XP_004979833.1	K3ZHQ8
XP_004983205.1	K4AC16
XP_004958362.1	K3ZQB7
XP_004955869.1	K3ZQB1
XP_014660042.1	K4A612
WP_006121144.1	A0A0A6WAB9
WP_006121144.1	H3RI10
XP_018210759.1	A0A1B7SH55
XP_004981669.1	K4ACK4
XP_004970919.1	K3XIT9
XP_004977145.1	K3Y7K3
NP_001141893.1	B4FYQ7
XP_012701178.1	K3XI90
XP_002441879.1	C5YSB3
XP_013933986.1	W1QAQ5
XP_004976076.1	K3Y9T8
XP_004957140.1	K3ZRN7
XP_008652534.1	A0A1D6I1N6
XP_004979125.1	K3ZHR3
XP_004959886.1	K3ZQZ7
XP_004962119.1	K3Z6R5
XP_004970385.1	K3XGV5
XP_018212940.1	A0A1B7SP55
XP_004969832.1	K3XGJ3
XP_004965911.1	K3XY59
XP_015620151.1	Q2QM64
XP_003568135.1	I1HHS3
XP_004968477.1	K3XE44
XP_008663089.1	K7U2E4
XP_008661885.1	A0A1D6KFH5
XP_004982211.1	K4A540
NP_001168344.1	C0P4H8
XP_009269132.1	R9AD43
XP_004961637.1	K3Z606
XP_004971091.1	K3XIT1
XP_004952294.1	K3YSR3
XP_004975964.1	K3Y7X2
XP_001526859.1	A5DWF1
XP_004952309.1	K3YPS3
XP_004976996.1	K3Y9L7
XP_004952640.1	K3YTG6
XP_004966535.2	K3XV88
XP_004976550.1	K3Y5C9
XP_004971451.1	K3XEC9
XP_004951559.1	K3YU41
XP_004963872.1	K3Z4X2
XP_002447157.1	C5YGM0
XP_004965258.1	K3XUW3
XP_004984296.1	K4A8T2
XP_004972862.1	K3YG11
XP_004969547.1	K3XJ47
XP_018712762.1	A0A1A0HE27
XP_014753397.1	A0A0Q3JL31
XP_004954293.1	K3YQ54
XP_004980958.1	K4A7I4
XP_008649380.1	A0A1D6LZB5
XP_012703009.1	K3Y8I4
XP_004971314.1	K3XE36
XP_004983504.1	K4AC70
XP_002454185.1	C5XXR6
NP_001152387.1	B6UDC6
XP_015618963.1	A0A0P0Y7A8
NP_001151787.2	C0HG48
NP_001131267.1	B4FBV8
NP_001149954.1	B6TJN8
XP_004951761.1	K3YSW5
XP_004981488.1	K4AMK8
XP_004979900.1	K3ZHB0
XP_012699479.1	K3ZQ91
XP_004983758.1	K4ACD7
XP_004969081.1	K3XGJ4
XP_004981977.1	K4A5E7
XP_004984340.1	K4AAZ7
XP_004962081.1	K3Z4R1
XP_004962505.1	K3Z3T6
XP_004951223.1	K3YRS9
XP_004978165.1	K3YCT2
XP_004969763.1	K3XE00
XP_004976233.1	K3Y717
XP_004961639.1	K3Z7C0
XP_004981263.1	K4A783
XP_004981896.1	K4A7G6
XP_004973463.1	K3YGZ9
XP_004969350.1	K3XE29
XP_004952915.1	K3YPX7
XP_004960383.1	K3Z5Y3
XP_004961264.1	K3Z5D3
XP_004978711.1	K3ZJF4
XP_004976482.1	K3Y742
XP_008657087.1	K7V3P1
XP_004985872.1	K4AA69
XP_004970111.1	K3XH05
XP_004985284.1	K4A4T5
XP_004977106.1	K3Y881
XP_004956289.1	K3ZRM2
XP_004964709.1	K3Y1J1
XP_004977001.1	K3Y4Q8
XP_004952733.1	K3YRP5
XP_004978572.1	K3ZLT3
XP_004968268.1	K3XLC1
XP_014660746.1	K3XHG1
XP_004957073.1	K3ZS35
XP_004984855.1	K4AA34
XP_012702472.1	K3YMX3
XP_004965567.1	K3XY85
XP_012704146.1	K3YRF5
XP_001527393.1	A5DXY5
XP_004972447.1	K3YH75
XP_004953893.1	K3YR57
XP_004964375.1	K3XWV7
XP_012698745.1	K3YVI3
XP_004984022.1	K4AL72
XP_004954033.1	K3YS67
XP_004981377.1	K4AF67
XP_004969910.1	K3XE30
XP_012703329.1	K3Y576
XP_004962723.1	K3Z6D3
XP_004964388.1	K3Y0Y7
XP_004971394.1	K3XGI2
XP_004982689.1	K4ADX1
XP_013245022.1	A0A066WI20
XP_004965919.1	K3XUZ7
XP_004961632.1	K3Z6L3
XP_004978391.1	K3YE25
XP_015613828.1	Q8LNH6
XP_012702562.1	K3YFY2
XP_002458467.1	C5XJZ6
XP_004966980.2	K3Y370
XP_004965781.1	K3XV75
XP_004967943.1	K3XKB2
XP_004964908.1	K3Y1B3
