XP_002548198.1	C5M7X3
XP_002548858.1	C5MAR3
XP_002550521.1	C5MFH6
XP_002547642.1	C5M4X1
XP_002549571.1	C5MDW6
XP_002551075.1	C5MH19
XP_002416934.1	B9W763
XP_002549133.1	C5MBI8
XP_002548418.1	C5M8J3
XP_002550540.1	C5MFJ5
XP_002550070.1	C5ME75
XP_002549804.1	C5MD00
XP_002547864.1	C5M9J9
XP_002549190.1	C5MBP5
XP_002549991.1	C5MDZ6
XP_002548712.1	C5M9D7
XP_002550158.1	C5MEG3
XP_002547989.1	C5M9X4
XP_002548100.1	C5MA85
XP_002548972.1	C5MB27
XP_002546736.1	C5MJH1
XP_002549861.1	C5MD57
XP_002546530.1	C5MIW5
XP_002550962.1	C5MGQ6
XP_002548003.1	C5M9Y8
XP_002545795.1	C5M3D7
XP_002547202.1	C5M6M7
XP_002549017.1	C5MB72
XP_002547958.1	C5M9U3
XP_002546520.1	C5MIV5
YP_008474997.1	S5TFQ8
XP_002547497.1	C5M7H2
XP_002547971.1	C5M9V6
XP_002551158.1	C5MHA2
XP_002545927.1	C5M3R9
XP_002549166.1	C5MBM1
XP_002546009.1	C5M401
XP_002551098.1	C5MH42
XP_002545643.1	C5M2Y5
XP_002545340.1	C5M232
XP_002547741.1	C5M570
XP_002550426.1	C5MF81
XP_002546118.1	C5M4B0
XP_002546551.1	C5MIY6
XP_002546035.1	C5M427
XP_002550993.1	C5MGT7
XP_002548339.1	C5M8B4
XP_002549918.1	C5MDB4
XP_002548381.1	C5M8F6
XP_002545837.1	C5M3H9
XP_002548550.1	C5M8X5
XP_002550440.1	C5MF95
XP_002549610.1	C5MCF6
XP_002550773.1	C5MG78
XP_002550767.1	C5MG72
XP_002548612.1	C5M937
XP_002547009.1	C5M634
XP_002547135.1	C5M6G0
XP_002545595.1	C5M2T7
XP_002548252.1	C5M827
XP_002549118.1	C5MBH3
XP_002548819.1	C5MAM4
XP_002545460.1	C5M2F2
XP_002548940.1	C5MAZ5
XP_002546148.1	C5M4E0
XP_002546364.1	C5MIE9
XP_002550859.1	C5MGG4
XP_002551295.1	C5MHQ0
XP_002550821.1	C5MGC6
XP_002550300.1	C5MEV5
XP_002550943.1	C5MGN7
