XP_002550857.1	C5MGG2
XP_002551295.1	C5MHQ0
XP_002550264.1	C5MER9
XP_002546665.1	C5MJA0
XP_002549959.1	C5MDF5
XP_002551075.1	C5MH19
XP_002549133.1	C5MBI8
XP_002545406.1	C5M298
XP_002548085.1	C5MA70
XP_002548418.1	C5M8J3
XP_002546498.1	C5MIT3
XP_002549805.1	C5MD01
XP_002550198.1	C5MEK3
XP_002549226.1	C5MBT1
XP_002546053.1	C5M445
XP_002549560.1	C5MDV5
XP_002547595.1	C5M7S0
XP_002546099.1	C5M491
XP_002551173.1	C5MHB7
XP_002547821.1	C5MJL0
XP_002545536.1	C5M2M8
XP_002549906.1	C5MDA2
XP_002547258.1	C5M6T3
XP_002549054.1	C5MBA9
XP_002549679.1	C5MCM5
XP_002546118.1	C5M4B0
XP_002545637.1	C5M2X9
XP_002546385.1	C5MIH0
XP_002545698.1	C5M340
XP_002549869.1	C5MD65
XP_002547096.1	C5M6C1
XP_002547410.1	C5M785
XP_002547438.1	C5M7B3
XP_002545708.1	C5M350
XP_002549060.1	C5MBB5
XP_002545741.1	C5M383
XP_002549610.1	C5MCF6
XP_002551011.1	C5MGV5
XP_002548160.1	C5M7T5
XP_002545607.1	C5M2U9
XP_002547347.1	C5M722
XP_002548345.1	C5M8C0
XP_002551452.1	C5MI57
XP_002551465.1	C5MI70
XP_002547811.1	C5M5E0
XP_002550048.1	C5ME53
XP_002545696.1	C5M338
XP_002549825.1	C5MD21
XP_002549234.1	C5MBT9
XP_002550740.1	C5MG45
XP_002547972.1	C5M9V7
XP_002548399.1	C5M8H4
XP_002548819.1	C5MAM4
XP_002548521.1	C5M8U6
XP_002546195.1	C5M4I7
XP_002550521.1	C5MFH6
XP_002550675.1	C5MFY0
XP_002550821.1	C5MGC6
XP_002549491.1	C5MDN5
XP_002548257.1	C5M832
XP_002550020.1	C5ME25
XP_002545814.1	C5M3F6
XP_002547864.1	C5M9J9
XP_002546122.1	C5M4B4
XP_002551112.1	C5MH56
XP_002551382.1	C5MHY7
XP_002551422.1	C5MI27
XP_002550837.1	C5MGE2
XP_002545786.1	C5M3C8
XP_002549522.1	C5MDR7
XP_002548204.1	C5M7X9
XP_002549017.1	C5MB72
XP_002546551.1	C5MIY6
XP_002547156.1	C5M6I1
XP_002550809.1	C5MGB4
XP_002546813.1	C5M5I8
XP_002549739.1	C5MCT5
XP_002549918.1	C5MDB4
XP_002549631.1	C5MCH7
XP_002550098.1	C5MEA3
XP_002545968.1	C5M3W0
XP_004963333.1	K3Z4R4
XP_002546191.1	C5M4I3
XP_002548044.1	C5MA29
XP_002549043.1	C5MB98
XP_002419958.1	B9WG04
XP_002548225.1	C5M800
XP_002546875.1	C5M5Q0
XP_002550070.1	C5ME75
XP_002548720.1	C5M9E5
XP_002545795.1	C5M3D7
XP_002547716.1	C5M545
XP_002550768.1	C5MG73
XP_002550541.1	C5MFJ6
XP_002547001.1	C5M626
XP_002546171.1	C5M4G3
XP_002547625.1	C5M4V4
XP_002550330.1	C5MEY5
XP_002545853.1	C5M3J5
XP_002548463.1	C5M8N8
XP_002547497.1	C5M7H2
XP_002547941.1	C5M9S6
XP_002550394.1	C5MF49
XP_002549166.1	C5MBM1
XP_002548286.1	C5M861
XP_002547747.1	C5M576
XP_002548298.1	C5M873
XP_002548693.1	C5M9B7
XP_002420945.1	B9WIN3
XP_002547135.1	C5M6G0
XP_002545871.1	C5M3L3
XP_002547549.1	C5M7M4
XP_002549040.1	C5MB95
XP_002546009.1	C5M401
XP_002550236.1	C5MEP1
XP_002546253.1	C5M4P5
XP_002548612.1	C5M937
XP_002549288.1	C5MBZ3
XP_002548495.1	C5M8S0
XP_002548372.1	C5M8E7
XP_002545703.1	C5M345
XP_002547546.1	C5M7M1
XP_002546530.1	C5MIW5
