From	To
C5M7X3	ctp:CTRG_02495
C5MAR3	ctp:CTRG_03155
C5MFH6	ctp:CTRG_04819
C5M4X1	ctp:CTRG_01949
C5MDW6	ctp:CTRG_03868
C5MH19	ctp:CTRG_05373
B9W763	cdu:CD36_02620
C5MBI8	ctp:CTRG_03430
C5M8J3	ctp:CTRG_02715
C5MFJ5	ctp:CTRG_04838
C5ME75	ctp:CTRG_04367
C5MD00	ctp:CTRG_04101
C5M9J9	ctp:CTRG_02161
C5MBP5	ctp:CTRG_03487
C5MDZ6	ctp:CTRG_04288
C5M9D7	ctp:CTRG_03009
C5MEG3	ctp:CTRG_04456
C5M9X4	ctp:CTRG_02286
C5MA85	ctp:CTRG_02397
C5MB27	ctp:CTRG_03269
C5MJH1	ctp:CTRG_06214
C5MD57	ctp:CTRG_04158
C5MIW5	ctp:CTRG_06008
C5MGQ6	ctp:CTRG_05260
C5M9Y8	ctp:CTRG_02300
C5M3D7	ctp:CTRG_00576
C5M6M7	ctp:CTRG_01508
C5MB72	ctp:CTRG_03314
C5M9U3	ctp:CTRG_02255
C5MIV5	ctp:CTRG_05998
C5M7H2	ctp:CTRG_01804
C5M9V6	ctp:CTRG_02268
C5MHA2	ctp:CTRG_05456
C5M3R9	ctp:CTRG_00708
C5MBM1	ctp:CTRG_03463
C5M401	ctp:CTRG_00790
C5MH42	ctp:CTRG_05396
C5M2Y5	ctp:CTRG_00424
C5M232	ctp:CTRG_00121
C5M570	ctp:CTRG_02048
C5MF81	ctp:CTRG_04724
C5M4B0	ctp:CTRG_00900
C5MIY6	ctp:CTRG_06029
C5M427	ctp:CTRG_00816
C5MGT7	ctp:CTRG_05291
C5M8B4	ctp:CTRG_02636
C5MDB4	ctp:CTRG_04215
C5M8F6	ctp:CTRG_02678
C5M3H9	ctp:CTRG_00618
C5M8X5	ctp:CTRG_02847
C5MF95	ctp:CTRG_04738
C5MCF6	ctp:CTRG_03907
C5MG78	ctp:CTRG_05071
C5MG72	ctp:CTRG_05065
C5M937	ctp:CTRG_02909
