From	To
Q5A0W9	XP_715436.1
Q5A3Q0	XP_716289.1
P43063	XP_713486.1
Q9B8D8	NP_075030.2
Q5A5S7	XP_717125.1
Q59Y41	XP_714452.1
Q59XA7	XP_714203.1
P0DJ06	XP_711047.1
Q5AFP8	XP_720314.1
Q5A0L7	XP_715337.1
Q5A0J9	XP_715353.1
Q5ADQ7	XP_719880.1
Q59WI7	XP_713919.1
Q9P940	XP_719842.1
Q5A3J1	XP_716348.1
P82610	XP_718219.1
Q5ANB1	XP_723202.1
Q59Q36	XP_711835.1
Q5ABP8	XP_718991.1
Q59LC9	XP_710529.1
Q5ACM4	XP_719379.1
P0CY27	XP_718053.2
Q59ZW4	XP_715028.1
Q59WC6	XP_713887.1
Q59NG5	XP_711258.1
Q5A0W6	XP_715439.2
Q59KN8	XP_710307.1
Q5AJ82	XP_721782.1
Q5AI48	XP_721502.1
Q5ACW6	XP_719547.1
Q5A8X9	XP_718178.1
Q5A970	XP_718262.1
Q5A7R7	XP_717774.1
P87220	XP_715551.1
Q9C0L9	XP_712426.1
Q5A4X8	XP_716806.1
Q5AP59	XP_723586.1
Q59MV9	XP_711046.1
O94030	XP_721476.1
Q5AL16	XP_722171.1
Q5AJ71	XP_721792.1
Q5A7Q2	XP_717788.1
Q59W04	XP_713782.1
Q9B8D4	NP_075035.2
Q5ANA8	XP_723205.1
Q59PD3	XP_711578.1
Q59YV0	XP_714679.1
Q5A5K7	XP_716967.1
Q5A0M4	XP_019330758.1
Q9UW12	XP_723486.1
Q59R35	XP_712138.1
Q9B1P9	NP_075033.2
Q9B1P9	NP_075042.2
Q5ANH2	XP_723143.1
P83782	XP_712027.1
Q5ACI8	XP_719413.2
Q59V01	XP_713428.1
P43075	XP_721349.1
Q5AKU5	XP_722234.1
P87206	XP_718147.1
Q96WL3	XP_710606.1
Q59VP2	XP_713655.1
Q5AHD6	XP_720983.1
Q59VM4	XP_713673.1
Q5ABZ2	XP_719121.1
Q5AH11	XP_721365.1
Q59MJ2	XP_710936.1
Q59WG7	XP_713939.1
Q5A387	XP_716217.1
Q5AGW8	XP_721406.1
Q59UT4	XP_713317.1
Q59PL9	XP_711563.1
P0CY35	XP_710148.2
Q5A4G9	XP_716606.1
Q59YS7	XP_714702.1
Q59P03	XP_711449.1
Q5A860	XP_717958.1
P56553	XP_720472.2
Q5AFA2	XP_720457.1
Q59NP1	XP_711319.1
Q9UW14	XP_715047.1
O43133	XP_710721.1
O59933	XP_713420.1
Q5AD05	XP_719509.1
Q9UVJ4	XP_712505.1
Q5A2T0	XP_716026.1
Q59XV0	XP_714401.1
P0CB54	XP_721464.1
Q59UY7	XP_713441.1
Q9UW25	XP_714614.1
Q92410	XP_711706.1
Q9B8D1	NP_075038.2
P0C0X3	XP_019330670.1
Q5A4Q1	XP_716701.2
Q59LV5	XP_710706.1
Q9P975	XP_719387.1
P0CY34	XP_719068.2
Q5A1E0	XP_715535.1
Q5AIR7	XP_721564.1
Q5AAG1	XP_718685.1
Q59ZU1	XP_715048.1
Q59JW3	XP_713904.2
Q59PT4	XP_711696.1
Q5ALY0	XP_722496.1
P79023	XP_710729.1
Q5AJX2	XP_721956.1
Q59PT6	XP_711694.1
Q59PR3	XP_711718.1
Q59R32	XP_712141.1
Q5ABQ7	XP_718982.1
Q5A688	XP_717207.1
Q5AA50	XP_718457.1
Q5ANJ4	XP_723122.1
Q5AFK0	XP_720360.1
P83775	XP_720616.1
P0CY31	XP_718237.1
Q5A4G2	XP_716613.1
Q5A931	XP_718126.1
Q59ZI3	XP_714895.1
Q59Q79	XP_711858.1
Q59YF0	XP_714550.1
Q5A4X5	XP_716809.1
Q5ADL0	XP_719923.1
Q5A6M0	XP_717398.1
Q5AK59	XP_721871.1
P86029	XP_722639.1
Q5AMH6	XP_722740.1
Q92206	XP_711894.1
Q5A849	XP_717969.1
Q5A319	XP_716281.1
Q59SI2	XP_712644.1
O74161	XP_720931.1
P33181	XP_716453.1
Q59KJ7	XP_710276.1
Q5ALV2	XP_722523.1
Q5AM80	XP_722543.1
Q59RF7	XP_712436.1
P53697	XP_716624.1
Q59YD9	XP_714559.1
Q5A7S5	XP_717766.1
Q5A3Z6	XP_716447.1
P41797	XP_722186.1
Q5A7M3	XP_717815.1
Q59X40	XP_714262.1
Q5AGC1	XP_720566.1
Q59QC7	XP_711879.1
Q5ANI6	XP_723130.1
Q5AD67	XP_719450.1
Q5APD4	XP_723517.1
Q5ALN1	XP_722589.1
Q5AI71	XP_721480.1
Q9B8D2	NP_075037.2
Q5APC8	XP_723523.1
Q9UW13	XP_719051.1
Q5AG46	XP_720639.1
Q59P44	XP_711484.1
Q9Y7F0	XP_019330878.1
Q9Y7F0	XP_716082.1
Q5ADX5	XP_719815.1
Q59PP0	XP_711671.1
Q59NQ9	XP_711347.1
O94038	XP_717649.1
O74711	XP_713321.1
O59923	XP_719442.1
Q92207	XP_721016.1
Q5AAI8	XP_718658.1
Q59K07	XP_710085.1
P84149	XP_717351.1
P28870	XP_710751.1
Q59W62	XP_713796.1
Q59Q39	XP_711832.1
Q5A5U4	XP_717108.1
Q5A895	XP_717924.1
Q59S43	XP_712481.1
Q5AHH4	XP_720946.1
Q5ADQ0	XP_719887.1
Q59MI8	XP_710939.2
Q5AMN3	XP_722686.1
Q5A869	XP_717949.1
Q5APS5	XP_723566.1
Q5ABG1	XP_718971.1
Q5ACH7	XP_719424.1
Q5AEI2	XP_719983.1
Q5AGC7	XP_720561.1
Q5AC37	XP_719078.1
Q5AAJ8	XP_718648.1
Q5A8T4	XP_718077.1
Q5A3Y5	XP_716458.1
P22011	XP_721313.1
Q59RL7	XP_712305.1
Q5ADS3	XP_719865.1
Q5ACP5	XP_719359.1
Q5ANB2	XP_723201.1
Q5A5U6	XP_717106.1
Q5AH12	XP_721364.1
O94048	XP_714388.1
Q9B8C9	NP_075040.2
Q59S45	XP_712479.1
Q59K86	XP_710160.1
Q5ANL6	XP_723101.1
Q59ZG8	XP_714910.1
O74261	XP_713077.1
Q59W50	XP_713807.1
Q59SU5	XP_712725.1
Q5AK54	XP_721875.1
Q5ABC5	XP_719007.1
O93803	XP_718274.1
P0CY19	XP_718145.1
Q59UH5	XP_713222.1
Q59PD6	XP_711575.2
Q5APF2	XP_723499.1
Q5A6Q7	XP_717360.1
Q5AK73	XP_721856.1
P46273	XP_711323.1
Q59VP1	XP_713656.1
Q5A4N0	XP_716721.1
Q5ACU4	XP_719310.1
Q5A861	XP_717957.1
O93852	XP_719313.1
Q59V02	XP_713426.1
P78595	XP_723169.1
Q59L13	XP_710434.1
Q8TG40	XP_719036.1
Q5AEC6	XP_720037.1
Q5A5Q6	XP_717146.1
O42817	XP_019330874.1
Q59PE7	XP_711564.1
Q5A1A9	XP_715565.1
P0CB63	XP_723525.1
P53709	XP_721355.1
Q59MV1	XP_711054.1
Q59YL9	XP_714579.2
P10613	XP_716761.1
Q59YT1	XP_714698.1
P83784	XP_713153.1
Q5AHB8	XP_721001.2
Q59ZW9	XP_715023.1
Q5ADL4	XP_719919.1
Q5A6N8	XP_717379.1
Q5AAH2	XP_718674.1
Q59VN0	XP_713667.1
Q5AD72	XP_719445.1
Q5A4F3	XP_716622.1
Q5AMR5	XP_722653.1
Q59Y31	XP_714462.1
Q5AC08	XP_719105.1
Q9Y872	XP_722228.1
Q9B8C8	NP_075041.2
P43094	XP_719147.1
Q59S42	XP_712482.1
Q5AHE8	XP_720972.1
Q59YF4	XP_714546.1
Q96W54	XP_019330631.1
Q96W54	XP_718852.1
Q9B8D5	NP_075034.1
Q5AH25	XP_721350.1
Q5A360	XP_716242.1
Q5AG73	XP_720613.1
Q5A0W7	XP_715438.1
Q59Q43	XP_711828.1
Q5A6N1	XP_717385.1
Q5ANC8	XP_723186.1
Q5A6Q4	XP_717363.1
Q5A0E5	XP_715199.1
Q5AGV7	XP_721417.1
P83779	XP_715533.1
Q5AK25	XP_721903.1
Q5A3K2	XP_716337.1
Q59L86	XP_710504.1
P43073	XP_719055.1
Q59ZW2	XP_715030.1
Q5ADV5	XP_719834.1
Q5AKB1	XP_721820.1
Q5AI90	XP_721462.1
Q5APR8	XP_723573.1
Q5AFN8	XP_720324.1
P46598	XP_721353.1
Q5AL52	XP_722138.1
Q5A8W9	XP_718046.1
Q59VX8	XP_713774.1
Q5A302	XP_716074.1
Q5A6P6	XP_717371.1
Q5A6B6	XP_717179.1
Q59X39	XP_714263.1
Q00310	XP_721742.1
Q5A6K8	XP_717410.1
Q5A8X7	XP_718180.1
Q5APF0	XP_723501.1
Q5AD07	XP_719507.1
Q9UW24	XP_714615.1
Q59VM7	XP_713670.1
Q59P96	XP_711548.1
Q59ZV4	XP_715037.1
Q9B8D0	NP_075039.2
Q59TU0	XP_713021.1
Q5A7Q6	XP_717782.1
Q5AGZ9	XP_721377.1
Q5AJY5	XP_721943.1
Q5A218	XP_715756.1
Q5AD78	XP_719439.1
Q59ST1	XP_712739.1
Q5ACM9	XP_719374.1
Q59N80	XP_711160.1
Q5A343	XP_716258.1
Q5ANB7	XP_723197.1
Q5AFH3	XP_720386.1
Q59LN9	XP_710644.1
Q5A651	XP_717243.1
Q5AHC2	XP_720997.1
Q5A2Y7	XP_716088.1
Q5A2Y7	XP_716639.2
Q92210	XP_723120.1
Q5A846	XP_717972.1
Q5AAJ7	XP_718649.1
Q5A4E3	XP_716632.1
Q5A660	XP_717235.1
P83780	XP_713513.1
Q9HFQ7	XP_721490.1
Q59KF3	XP_710224.1
Q5A7P3	XP_717795.1
Q5AK51	XP_721878.2
Q5ALX3	XP_722503.1
Q59W44	XP_713813.1
Q5ACR4	XP_719340.1
Q5AEM6	XP_719941.1
Q5A246	XP_715778.2
Q5A013	XP_715151.1
P40954	XP_719348.1
Q5AF03	XP_719950.2
Q5ADN8	XP_719898.1
Q9URB4	XP_722690.1
O13318	XP_719043.1
Q5ACZ2	XP_719522.1
Q59X49	XP_714253.1
O74201	XP_019331041.1
Q59VW7	XP_713785.1
Q5A7Q3	XP_717785.1
Q59Z14	XP_714875.1
Q5A4X0	XP_716814.1
Q5APB6	XP_723535.1
Q5A644	XP_717250.1
Q5A4H5	XP_716600.1
Q59QC6	XP_711880.1
Q5AFP3	XP_720319.1
Q5AKU6	XP_722233.1
Q5AI15	XP_721535.1
Q59WH7	XP_713929.1
Q9P8W0	XP_717001.1
Q59WD5	XP_713879.1
Q5A4H9	XP_716596.1
P46250	XP_716780.1
Q5AL36	XP_722152.1
Q59VF4	XP_713589.1
Q5AL63	XP_722125.1
Q5A762	XP_717637.1
Q59P11	XP_711441.1
Q5A3Z5	XP_716448.1
P48989	XP_712726.1
Q71U11	XP_019330960.1
Q5A687	XP_717208.1
O59931	XP_721492.1
Q5AGV4	XP_721420.1
Q5A4M8	XP_716723.1
P87219	XP_715552.1
Q5AB49	XP_718791.1
Q59WJ5	XP_713911.1
P0CT51	XP_019330715.1
Q5AML6	XP_722702.1
Q5A2A2	XP_715874.1
Q5ALW7	XP_722509.1
Q59ZX3	XP_715019.1
Q8X1E6	XP_719095.1
Q5A0X8	XP_715426.1
Q5AI21	XP_721529.1
Q5AI86	XP_721466.1
Q59KY8	XP_710408.1
Q5AKU4	XP_722235.1
Q5AF39	XP_720517.1
Q5AFT2	XP_720511.1
Q5ADL8	XP_719917.1
Q9B8D7	NP_075031.2
Q874I4	XP_723522.1
Q59Y20	XP_714471.1
P83778	XP_718638.1
Q5ABD0	XP_719002.1
Q59X26	XP_714276.1
Q5A310	XP_716066.1
Q5A6A4	XP_717192.1
Q5A1N6	XP_715723.1
Q59ST8	XP_712732.1
Q5A8I8	XP_718096.1
Q59QC4	XP_711882.1
Q59R28	XP_712145.1
P87185	XP_720372.1
Q59PV6	XP_711729.1
Q5AI37	XP_721513.1
Q5ADM9	XP_719907.1
Q5A4E2	XP_716633.1
P46589	XP_716097.1
Q59ZX6	XP_715016.1
Q5AFK3	XP_720357.1
P82612	XP_721022.1
Q5AAG6	XP_718680.1
Q5AAL9	XP_718630.1
Q59VR3	XP_713635.1
Q5A960	XP_718271.1
Q5APJ9	XP_723451.1
Q5A432	XP_716583.1
Q5ACU3	XP_719311.1
Q9B8D3	NP_075036.2
Q59QC2	XP_711884.1
Q5AG40	XP_720644.1
Q59P39	XP_711489.1
P40910	XP_721500.1
Q5A5N6	XP_717165.1
Q5ANP2	XP_723074.1
Q9UVL1	XP_019330907.1
Q59P53	XP_711475.1
Q5A872	XP_717946.1
Q59P50	XP_711478.1
Q07730	XP_711594.1
Q5A9Z6	XP_718509.1
P0CY33	XP_711878.1
Q5APC0	XP_723531.1
Q5A2Z1	XP_019330879.1
Q5AJF1	XP_721719.1
Q59VN2	XP_711082.1
Q59VN2	XP_713665.1
Q5AP52	XP_723592.1
O93827	XP_710946.1
Q5A0Y8	XP_715417.1
Q59S50	XP_712474.1
P30575	XP_711883.1
Q9P4E8	XP_723509.1
Q59UG4	XP_713233.1
Q5AAW3	XP_718788.1
Q59KC4	XP_710191.1
P83776	XP_717405.1
O42825	XP_715774.1
Q59MN0	XP_710992.1
Q5AJC0	XP_721748.1
Q5AFI4	XP_720375.1
Q59PT0	XP_711700.1
Q59Q38	XP_711833.1
P53698	XP_714415.1
P0CY29	XP_723210.1
Q5AMQ4	XP_722664.1
P34948	XP_714562.1
Q5AM60	XP_722560.1
O13426	XP_718086.1
P0CY24	XP_720551.1
Q96VB9	XP_718458.1
Q59P87	XP_711556.1
Q59S27	XP_712295.2
Q9HEW1	XP_719464.2
Q59LP6	XP_710638.1
Q5A8K2	XP_718082.1
Q59WB9	XP_713894.1
